City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,viedma,-40.8135,-62.9967,16.37,54,87,4.88,AR,1729306877
272,bassila,9.0081,1.6654,21.75,93,91,1.01,BJ,1729306909
273,udachny,66.4167,112.4,-10.14,92,100,2.54,RU,1729306911
274,phan rang-thap cham,11.5667,108.9833,30.0,64,100,0.76,VN,1729306912
275,tazacorte,28.629,-17.9293,21.54,85,100,5.14,ES,1729306913
276,al ghayzah,16.2079,52.176,26.58,79,93,3.02,YE,1729306914
277,sarai,53.7458,41.0213,1.86,83,91,5.67,RU,1729306915
278,anadyr,64.75,177.4833,4.28,86,20,7.6,RU,1729306677
279,bondoukou,8.0333,-2.8,21.35,99,57,1.76,CI,1729306918
280,waingapu,-9.6567,120.2641,30.79,59,90,6.13,ID,1729306919
281,borovskoy,53.8,64.15,1.42,72,27,1.87,KZ,1729306920
282,tubarjal,30.4999,38.216,19.11,47,0,4.42,SA,1729306921
283,kramfors,62.9316,17.7765,8.89,93,100,2.57,SE,1729306923
284,smirnovo,54.5125,69.4222,0.87,67,68,2.28,KZ,1729306924
285,plettenberg bay,-34.0527,23.3716,13.74,87,67,1.93,ZA,1729306925
286,lodja,-3.4833,23.4333,20.55,98,44,0.22,CD,1729306926
287,kotel'nikovo,47.6317,43.1461,5.32,84,100,3.57,RU,1729306927
288,luena,-11.7833,19.9167,16.59,90,92,1.66,AO,1729306928
289,pontotoc,34.2479,-88.9987,8.78,51,53,2.8,US,1729306930
290,bako,5.7833,36.5667,16.96,89,97,1.88,ET,1729306931
291,san patricio,28.017,-97.5169,24.12,66,15,4.8,US,1729306932
292,malvan,16.0667,73.4667,26.73,83,100,4.03,IN,1729306933
293,vorgashor,67.5833,63.95,0.03,99,100,7.97,RU,1729306824
294,vadso,70.0744,29.7487,6.09,81,20,4.12,NO,1729306936
295,la pobla de vallbona,39.6,-0.55,14.71,62,0,2.57,ES,1729306938
296,le perray-en-yvelines,48.6944,1.8564,10.4,96,0,3.6,FR,1729306939
297,guiuan,11.0333,125.7247,28.35,78,10,1.22,PH,1729306942
298,ak-dovurak,51.1833,90.6,-0.4,94,100,0.4,RU,1729306674
299,kone,-21.0595,164.8658,28.41,41,1,5.33,NC,1729306944
300,new norfolk,-42.7826,147.0587,18.73,33,0,2.21,AU,1729306945
301,beroroha,-21.6667,45.1667,20.95,75,0,0.72,MG,1729306947
302,shashemene,7.2,38.6,14.11,85,99,1.95,ET,1729306948
303,arish,31.1316,33.7984,21.69,64,0,3.36,EG,1729306949
304,oakdale,44.963,-92.9649,18.64,42,20,6.17,US,1729306950
305,saint-pierre,-21.3393,55.4781,22.82,73,100,1.03,RE,1729306951
306,hohhot,40.8106,111.6522,6.16,22,0,7.0,CN,1729306918
307,okhotsk,59.3833,143.3,-5.43,55,57,9.2,RU,1729306954
308,damulog,7.4836,124.9431,29.44,69,96,1.15,PH,1729306955
309,belle fourche,44.6714,-103.8522,7.4,79,70,2.01,US,1729306956
310,jayapura,-2.5333,140.7,28.66,81,96,2.47,ID,1729306957
311,san jose de jachal,-30.2406,-68.7469,22.65,54,0,1.49,AR,1729306958
312,novyy urgal,51.0736,132.5642,0.73,32,65,7.05,RU,1729306961
313,bamiantong,44.9333,130.5333,1.19,28,4,8.62,CN,1729306962
314,alghero,40.5589,8.3181,14.05,94,0,1.03,IT,1729306963
315,kodinar,20.7903,70.7031,28.78,77,94,3.69,IN,1729306964
316,dryden,49.7833,-92.7503,8.16,87,100,2.06,CA,1729306966
317,calvinia,-31.4707,19.776,7.98,88,7,1.59,ZA,1729306958
318,markaz-e hukumat-e darweshan,31.1323,64.1934,21.82,19,0,1.31,AF,1729306969
319,kiunga,-6.1219,141.2906,28.09,88,100,1.14,PG,1729306970
320,iranshahr,27.2025,60.6848,25.19,16,0,3.09,IR,1729306972
321,bir el ater,34.7449,8.0602,13.47,55,7,5.01,DZ,1729306973
322,nanao,37.05,136.9667,22.39,93,100,8.14,JP,1729306974
323,magadan,59.5667,150.8,-3.28,82,100,4.14,RU,1729306975
324,enewetak,11.3474,162.3373,28.68,75,95,7.26,MH,1729306977
325,luderitz,-26.6481,15.1594,14.5,71,1,7.43,NA,1729306978
326,tynda,55.1667,124.7167,-7.25,57,19,4.19,RU,1729306979
327,sakaiminato,35.55,133.2333,23.99,100,75,1.54,JP,1729306980
328,maintirano,-18.0667,44.0167,22.68,76,1,3.07,MG,1729306982
329,tra mhor,52.1624,-7.1524,10.05,93,0,1.79,IE,1729306983
330,imbituba,-28.24,-48.6703,17.37,89,100,1.07,BR,1729306984
331,hammerfest,70.6634,23.6821,9.25,93,100,7.72,NO,1729306985
332,yanam,16.7333,82.2167,28.36,84,62,1.85,IN,1729306987
333,inarajan village,13.2736,144.7484,29.66,86,100,5.89,GU,1729306988
334,tarnogskiy gorodok,60.4997,43.5761,3.17,86,95,2.99,RU,1729306989
335,san andres,12.5847,-81.7006,29.01,84,20,3.09,CO,1729306816
336,turpan,42.9333,89.1667,14.8,38,20,1.45,CN,1729306993
337,tralee,52.2704,-9.7026,9.58,88,12,3.51,IE,1729306994
338,juneau,58.3019,-134.4197,2.28,100,100,2.37,US,1729306808
339,macherla,16.4833,79.4333,26.27,83,100,1.08,IN,1729306996
340,singkil,-7.9855,111.4161,33.38,46,67,2.42,ID,1729306997
341,cesky krumlov,48.8109,14.3152,9.87,87,100,1.51,CZ,1729306998
342,porto murtinho,-21.6989,-57.8825,22.29,93,100,2.34,BR,1729307000
343,uturoa,-16.7333,-151.4333,26.65,78,89,4.99,PF,1729307001
344,bel ombre,-4.6167,55.4167,27.91,78,40,4.63,SC,1729307002
345,nangomba,-10.9,38.5,22.5,81,1,1.68,TZ,1729307003
346,dawei,14.0833,98.2,26.06,92,98,1.46,MM,1729307004
347,samut prakan,13.5,100.45,28.21,79,100,3.48,TH,1729307005
348,santa elena de uairen,4.6167,-61.1333,21.85,70,91,1.6,VE,1729307007
349,mahina,-17.5065,-149.489,28.87,65,40,2.57,PF,1729307008
350,macapa,0.0389,-51.0664,27.99,83,20,3.6,BR,1729306872
351,reyes,-14.3167,-67.3833,27.65,52,67,0.73,BO,1729307013
352,huicheng,23.0385,116.2899,30.11,65,11,2.78,CN,1729306846
353,carbonear,47.7332,-53.2148,5.56,69,13,6.85,CA,1729307015
354,kailua-kona,19.6406,-155.9956,27.55,87,39,2.68,US,1729307017
355,potoci,43.4086,17.8786,15.73,100,20,1.54,BA,1729307018
356,touros,-5.1989,-35.4608,25.25,78,16,5.05,BR,1729307019
357,aykhal,66.0,111.5,-9.57,93,100,3.02,RU,1729307020
358,choix,26.7092,-108.3219,24.45,54,0,1.03,MX,1729307021
359,constantia,44.1833,28.65,4.38,62,1,6.34,RO,1729306724
360,saint-joseph,-21.3667,55.6167,22.21,85,53,3.17,RE,1729307024
361,leua,48.2156,18.6071,6.57,54,76,3.04,SK,1729307025
362,pocone,-16.2567,-56.6228,27.02,66,100,2.58,BR,1729307026
